provider,geography,region,location,latitude,longitude,instance_type,hourly_cost_usd,compute_capability,gpu_power_watts,electricity_price_kwh
"Azure","Canada","Canada Central","Toronto","43.6532","-79.3832","V100-16GB","2.295","75","250","0.14"
"Azure","Canada","Canada Central","Toronto","43.6532","-79.3832","K80-12GB","0.664","45","300","0.14"
"Azure","Canada","Canada East","Quebec","46.8139","-71.208","H100-80GB","5.081","100","450","0.14"
"Azure","Canada","Canada East","Quebec","46.8139","-71.208","RTX-3080","1.139","78","320","0.14"
"Azure","Canada","Canada East","Quebec","46.8139","-71.208","A100-40GB","2.755","90","350","0.14"
"Azure","India","Central India","Pune","40","-95","H100-80GB","5.097","100","450","0.08"
"Azure","India","Central India","Pune","40","-95","MI250X-128GB","4.326","92","560","0.08"
"Azure","India","Central India","Pune","40","-95","RTX-4090","1.516","88","450","0.08"
"Azure","India","Central India","Pune","40","-95","K80-12GB","0.707","45","300","0.08"
"Azure","India","Central India","Pune","40","-95","A100-80GB","3.414","95","400","0.08"
"Azure","India","Central India","Pune","40","-95","P40-24GB","1.634","70","250","0.08"
"Azure","United States","Central US","Iowa","41.2619","-95.8608","P4-8GB","0.470","50","75","0.11"
"Azure","United States","Central US","Iowa","41.2619","-95.8608","H100-80GB","4.808","100","450","0.11"
"Azure","United States","Central US","Iowa","41.2619","-95.8608","A100-40GB","2.814","90","350","0.11"
"Azure","Chile","Chile Central","Santiago","-33.4489","-70.6693","L40-48GB","2.206","85","300","0.16"
"Azure","Chile","Chile Central","Santiago","-33.4489","-70.6693","RTX-3080","1.161","78","320","0.16"
"Azure","Chile","Chile Central","Santiago","-33.4489","-70.6693","V100-16GB","2.319","75","250","0.16"
"Azure","Chile","Chile Central","Santiago","-33.4489","-70.6693","P4-8GB","0.489","50","75","0.16"
"Azure","Asia Pacific","East Asia","Hong Kong","22.3193","114.1694","RTX-3080","1.079","78","320","0.18"
"Azure","Asia Pacific","East Asia","Hong Kong","22.3193","114.1694","RTX-4090","1.804","88","450","0.18"
"Azure","Asia Pacific","East Asia","Hong Kong","22.3193","114.1694","P4-8GB","0.625","50","75","0.18"
"Azure","Asia Pacific","East Asia","Hong Kong","22.3193","114.1694","L40-48GB","3.025","85","300","0.18"
"Azure","Asia Pacific","East Asia","Hong Kong","22.3193","114.1694","K80-12GB","0.780","45","300","0.18"
"Azure","United States","East US","Virginia","39.0438","-77.4874","K80-12GB","0.758","45","300","0.12"
"Azure","United States","East US","Virginia","39.0438","-77.4874","P40-24GB","1.444","70","250","0.12"
"Azure","United States","East US","Virginia","39.0438","-77.4874","V100-32GB","2.554","80","300","0.12"
"Azure","United States","East US","Virginia","39.0438","-77.4874","MI250X-128GB","4.534","92","560","0.12"
"Azure","United States","East US","Virginia","39.0438","-77.4874","H100-80GB","5.500","100","450","0.12"
"Azure","United States","East US","Virginia","39.0438","-77.4874","T4-16GB","0.994","60","70","0.12"
"Azure","United States","East US 2","Virginia","39.0438","-77.4874","P4-8GB","0.504","50","75","0.12"
"Azure","United States","East US 2","Virginia","39.0438","-77.4874","RTX-4090","1.534","88","450","0.12"
"Azure","United States","East US 2","Virginia","39.0438","-77.4874","K80-12GB","0.572","45","300","0.12"
"Azure","United States","East US 2","Virginia","39.0438","-77.4874","L40-48GB","2.183","85","300","0.12"
"Azure","France","France Central","Paris","48.8566","2.3522","L40-48GB","2.666","85","300","0.24"
"Azure","France","France Central","Paris","48.8566","2.3522","V100-32GB","2.563","80","300","0.24"
"Azure","France","France Central","Paris","48.8566","2.3522","V100-16GB","2.503","75","250","0.24"
"Azure","France","France Central","Paris","48.8566","2.3522","A100-40GB","2.807","90","350","0.24"
"Azure","France","France Central","Paris","48.8566","2.3522","H100-80GB","4.702","100","450","0.24"
"Azure","Germany","Germany West Central","Frankfurt","50.1109","8.6821","A100-80GB","3.604","95","400","0.32"
"Azure","Germany","Germany West Central","Frankfurt","50.1109","8.6821","V100-16GB","2.861","75","250","0.32"
"Azure","Germany","Germany West Central","Frankfurt","50.1109","8.6821","A100-40GB","3.875","90","350","0.32"
"Azure","Germany","Germany West Central","Frankfurt","50.1109","8.6821","RTX-3090","1.624","82","350","0.32"
"Azure","Germany","Germany West Central","Frankfurt","50.1109","8.6821","MI250X-128GB","4.876","92","560","0.32"
"Azure","Indonesia","Indonesia Central","Jakarta","-6.2088","106.8456","A100-40GB","3.165","90","350","0.12"
"Azure","Indonesia","Indonesia Central","Jakarta","-6.2088","106.8456","A100-80GB","3.123","95","400","0.12"
"Azure","Indonesia","Indonesia Central","Jakarta","-6.2088","106.8456","L40-48GB","2.526","85","300","0.12"
"Azure","Israel","Israel Central","Israel","32.0853","34.7818","A100-40GB","2.651","90","350","0.28"
"Azure","Israel","Israel Central","Israel","32.0853","34.7818","RTX-3080","1.180","78","320","0.28"
"Azure","Israel","Israel Central","Israel","32.0853","34.7818","L4-24GB","0.911","65","72","0.28"
"Azure","Israel","Israel Central","Israel","32.0853","34.7818","V100-16GB","2.260","75","250","0.28"
"Azure","Israel","Israel Central","Israel","32.0853","34.7818","RTX-4090","1.677","88","450","0.28"
"Azure","Israel","Israel Central","Israel","32.0853","34.7818","A100-80GB","3.438","95","400","0.28"
"Azure","Italy","Italy North","Milan","45.4642","9.19","L4-24GB","1.131","65","72","0.28"
"Azure","Italy","Italy North","Milan","45.4642","9.19","P4-8GB","0.582","50","75","0.28"
"Azure","Italy","Italy North","Milan","45.4642","9.19","V100-16GB","2.491","75","250","0.28"
"Azure","Italy","Italy North","Milan","45.4642","9.19","H100-80GB","5.074","100","450","0.28"
"Azure","Italy","Italy North","Milan","45.4642","9.19","V100-32GB","3.018","80","300","0.28"
"Azure","Italy","Italy North","Milan","45.4642","9.19","A100-40GB","3.015","90","350","0.28"
"Azure","Japan","Japan East","Tokyo, Saitama","35.6762","139.6503","V100-32GB","2.957","80","300","0.24"
"Azure","Japan","Japan East","Tokyo, Saitama","35.6762","139.6503","RTX-3090","1.324","82","350","0.24"
"Azure","Japan","Japan East","Tokyo, Saitama","35.6762","139.6503","H100-80GB","5.928","100","450","0.24"
"Azure","Japan","Japan East","Tokyo, Saitama","35.6762","139.6503","L40-48GB","2.666","85","300","0.24"
"Azure","Japan","Japan West","Osaka","34.6937","135.5023","L4-24GB","1.065","65","72","0.24"
"Azure","Japan","Japan West","Osaka","34.6937","135.5023","H100-80GB","4.884","100","450","0.24"
"Azure","Japan","Japan West","Osaka","34.6937","135.5023","T4-16GB","0.755","60","70","0.24"
"Azure","Japan","Japan West","Osaka","34.6937","135.5023","RTX-3080","1.027","78","320","0.24"
"Azure","Japan","Japan West","Osaka","34.6937","135.5023","P4-8GB","0.592","50","75","0.24"
"Azure","Korea","Korea Central","Seoul","37.5665","126.978","V100-16GB","2.336","75","250","0.22"
"Azure","Korea","Korea Central","Seoul","37.5665","126.978","P40-24GB","1.758","70","250","0.22"
"Azure","Korea","Korea Central","Seoul","37.5665","126.978","MI250X-128GB","4.406","92","560","0.22"
"Azure","Korea","Korea Central","Seoul","37.5665","126.978","L4-24GB","1.073","65","72","0.22"
"Azure","Korea","Korea South","Busan","40","-95","P4-8GB","0.581","50","75","0.13"
"Azure","Korea","Korea South","Busan","40","-95","MI250X-128GB","4.339","92","560","0.13"
"Azure","Korea","Korea South","Busan","40","-95","RTX-4090","1.585","88","450","0.13"
"Azure","Korea","Korea South","Busan","40","-95","A100-40GB","3.453","90","350","0.13"
"Azure","Korea","Korea South","Busan","40","-95","RTX-3090","1.373","82","350","0.13"
"Azure","Korea","Korea South","Busan","40","-95","V100-16GB","2.174","75","250","0.13"
"Azure","Malaysia","Malaysia West","Kuala Lumpur","40","-95","V100-32GB","2.341","80","300","0.15"
"Azure","Malaysia","Malaysia West","Kuala Lumpur","40","-95","RTX-3090","1.140","82","350","0.15"
"Azure","Malaysia","Malaysia West","Kuala Lumpur","40","-95","P40-24GB","1.345","70","250","0.15"
"Azure","Malaysia","Malaysia West","Kuala Lumpur","40","-95","T4-16GB","0.982","60","70","0.15"
"Azure","Mexico","Mexico Central","Querétaro State","40","-95","P4-8GB","0.560","50","75","0.15"
"Azure","Mexico","Mexico Central","Querétaro State","40","-95","V100-32GB","2.249","80","300","0.15"
"Azure","Mexico","Mexico Central","Querétaro State","40","-95","RTX-3090","1.369","82","350","0.15"
"Azure","Mexico","Mexico Central","Querétaro State","40","-95","A100-80GB","3.931","95","400","0.15"
"Azure","Mexico","Mexico Central","Querétaro State","40","-95","P40-24GB","1.356","70","250","0.15"
"Azure","Mexico","Mexico Central","Querétaro State","40","-95","L40-48GB","2.378","85","300","0.15"
"Azure","New Zealand","New Zealand North","Auckland","40","-95","H100-80GB","5.170","100","450","0.15"
"Azure","New Zealand","New Zealand North","Auckland","40","-95","V100-32GB","2.651","80","300","0.15"
"Azure","New Zealand","New Zealand North","Auckland","40","-95","V100-16GB","1.879","75","250","0.15"
"Azure","New Zealand","New Zealand North","Auckland","40","-95","P40-24GB","1.699","70","250","0.15"
"Azure","United States","North Central US","Illinois","40","-95","L4-24GB","1.128","65","72","0.13"
"Azure","United States","North Central US","Illinois","40","-95","A100-40GB","3.223","90","350","0.13"
"Azure","United States","North Central US","Illinois","40","-95","T4-16GB","0.806","60","70","0.13"
"Azure","United States","North Central US","Illinois","40","-95","K80-12GB","0.682","45","300","0.13"
"Azure","United States","North Central US","Illinois","40","-95","H100-80GB","4.330","100","450","0.13"
"Azure","United States","North Central US","Illinois","40","-95","V100-32GB","2.980","80","300","0.13"
"Azure","Europe","North Europe","Ireland","53.3498","-6.2603","RTX-3080","1.225","78","320","0.26"
"Azure","Europe","North Europe","Ireland","53.3498","-6.2603","L40-48GB","2.277","85","300","0.26"
"Azure","Europe","North Europe","Ireland","53.3498","-6.2603","RTX-3090","1.194","82","350","0.26"
"Azure","Europe","North Europe","Ireland","53.3498","-6.2603","MI250X-128GB","3.958","92","560","0.26"
"Azure","Europe","North Europe","Ireland","53.3498","-6.2603","L4-24GB","1.086","65","72","0.26"
"Azure","Europe","North Europe","Ireland","53.3498","-6.2603","P4-8GB","0.631","50","75","0.26"
"Azure","Norway","Norway East","Norway","40","-95","L4-24GB","1.006","65","72","0.18"
"Azure","Norway","Norway East","Norway","40","-95","A100-40GB","3.178","90","350","0.18"
"Azure","Norway","Norway East","Norway","40","-95","K80-12GB","0.720","45","300","0.18"
"Azure","Norway","Norway East","Norway","40","-95","H100-80GB","4.494","100","450","0.18"
"Azure","Norway","Norway East","Norway","40","-95","MI250X-128GB","4.631","92","560","0.18"
"Azure","Norway","Norway East","Norway","40","-95","RTX-3090","1.486","82","350","0.18"
"Azure","Poland","Poland Central","Warsaw","52.2297","21.0122","V100-16GB","2.262","75","250","0.22"
"Azure","Poland","Poland Central","Warsaw","52.2297","21.0122","MI250X-128GB","4.358","92","560","0.22"
"Azure","Poland","Poland Central","Warsaw","52.2297","21.0122","A100-80GB","3.941","95","400","0.22"
"Azure","Poland","Poland Central","Warsaw","52.2297","21.0122","RTX-3080","1.037","78","320","0.22"
"Azure","Poland","Poland Central","Warsaw","52.2297","21.0122","P40-24GB","1.466","70","250","0.22"
"Azure","Poland","Poland Central","Warsaw","52.2297","21.0122","P4-8GB","0.522","50","75","0.22"
"Azure","Qatar","Qatar Central","Doha","25.276","51.52","V100-16GB","2.331","75","250","0.1"
"Azure","Qatar","Qatar Central","Doha","25.276","51.52","RTX-3090","1.416","82","350","0.1"
"Azure","Qatar","Qatar Central","Doha","25.276","51.52","MI250X-128GB","3.965","92","560","0.1"
"Azure","South Africa","South Africa North","Johannesburg","-26.2041","28.0473","P4-8GB","0.555","50","75","0.15"
"Azure","South Africa","South Africa North","Johannesburg","-26.2041","28.0473","V100-16GB","1.871","75","250","0.15"
"Azure","South Africa","South Africa North","Johannesburg","-26.2041","28.0473","H100-80GB","5.178","100","450","0.15"
"Azure","South Africa","South Africa North","Johannesburg","-26.2041","28.0473","L4-24GB","0.983","65","72","0.15"
"Azure","South Africa","South Africa North","Johannesburg","-26.2041","28.0473","RTX-4090","1.533","88","450","0.15"
"Azure","United States","South Central US","Texas","40","-95","V100-16GB","2.046","75","250","0.13"
"Azure","United States","South Central US","Texas","40","-95","P4-8GB","0.589","50","75","0.13"
"Azure","United States","South Central US","Texas","40","-95","RTX-4090","1.481","88","450","0.13"
"Azure","United States","South Central US","Texas","40","-95","MI250X-128GB","4.807","92","560","0.13"
"Azure","United States","South Central US","Texas","40","-95","L4-24GB","0.852","65","72","0.13"
"Azure","India","South India","Chennai","13.0827","80.2707","V100-16GB","2.141","75","250","0.08"
"Azure","India","South India","Chennai","13.0827","80.2707","RTX-3080","0.946","78","320","0.08"
"Azure","India","South India","Chennai","13.0827","80.2707","P40-24GB","1.496","70","250","0.08"
"Azure","India","South India","Chennai","13.0827","80.2707","P4-8GB","0.468","50","75","0.08"
"Azure","Asia Pacific","Southeast Asia","Singapore","1.3521","103.8198","L40-48GB","2.761","85","300","0.2"
"Azure","Asia Pacific","Southeast Asia","Singapore","1.3521","103.8198","V100-16GB","2.601","75","250","0.2"
"Azure","Asia Pacific","Southeast Asia","Singapore","1.3521","103.8198","H100-80GB","5.290","100","450","0.2"
"Azure","Asia Pacific","Southeast Asia","Singapore","1.3521","103.8198","P40-24GB","1.723","70","250","0.2"
"Azure","Asia Pacific","Southeast Asia","Singapore","1.3521","103.8198","K80-12GB","0.746","45","300","0.2"
"Azure","Spain","Spain Central","Madrid","40.4168","-3.7038","A100-40GB","3.304","90","350","0.26"
"Azure","Spain","Spain Central","Madrid","40.4168","-3.7038","RTX-4090","1.879","88","450","0.26"
"Azure","Spain","Spain Central","Madrid","40.4168","-3.7038","K80-12GB","0.618","45","300","0.26"
"Azure","Spain","Spain Central","Madrid","40.4168","-3.7038","A100-80GB","3.222","95","400","0.26"
"Azure","Spain","Spain Central","Madrid","40.4168","-3.7038","P40-24GB","1.596","70","250","0.26"
"Azure","Spain","Spain Central","Madrid","40.4168","-3.7038","H100-80GB","4.591","100","450","0.26"
"Azure","Sweden","Sweden Central","Gävle","40","-95","V100-16GB","2.412","75","250","0.2"
"Azure","Sweden","Sweden Central","Gävle","40","-95","RTX-3080","1.017","78","320","0.2"
"Azure","Sweden","Sweden Central","Gävle","40","-95","V100-32GB","2.318","80","300","0.2"
"Azure","Switzerland","Switzerland North","Zurich","47.3769","8.5417","RTX-3080","1.274","78","320","0.2"
"Azure","Switzerland","Switzerland North","Zurich","47.3769","8.5417","RTX-4090","1.726","88","450","0.2"
"Azure","Switzerland","Switzerland North","Zurich","47.3769","8.5417","P40-24GB","1.684","70","250","0.2"
"Azure","Switzerland","Switzerland North","Zurich","47.3769","8.5417","RTX-3090","1.454","82","350","0.2"
"Azure","Switzerland","Switzerland North","Zurich","47.3769","8.5417","V100-16GB","2.190","75","250","0.2"
"Azure","UAE","UAE North","Dubai","25.2048","55.2708","RTX-3090","1.367","82","350","0.12"
"Azure","UAE","UAE North","Dubai","25.2048","55.2708","RTX-4090","1.503","88","450","0.12"
"Azure","UAE","UAE North","Dubai","25.2048","55.2708","L40-48GB","2.230","85","300","0.12"
"Azure","UAE","UAE North","Dubai","25.2048","55.2708","T4-16GB","0.799","60","70","0.12"
"Azure","UAE","UAE North","Dubai","25.2048","55.2708","MI250X-128GB","4.126","92","560","0.12"
"Azure","UAE","UAE North","Dubai","25.2048","55.2708","L4-24GB","1.023","65","72","0.12"
"Azure","United Kingdom","UK South","London","51.5074","-0.1278","L40-48GB","2.694","85","300","0.3"
"Azure","United Kingdom","UK South","London","51.5074","-0.1278","RTX-3080","1.186","78","320","0.3"
"Azure","United Kingdom","UK South","London","51.5074","-0.1278","P4-8GB","0.706","50","75","0.3"
"Azure","United Kingdom","UK South","London","51.5074","-0.1278","RTX-3090","1.650","82","350","0.3"
"Azure","United Kingdom","UK West","Cardiff","40","-95","T4-16GB","0.911","60","70","0.3"
"Azure","United Kingdom","UK West","Cardiff","40","-95","L4-24GB","0.979","65","72","0.3"
"Azure","United Kingdom","UK West","Cardiff","40","-95","A100-80GB","3.275","95","400","0.3"
"Azure","United States","West Central US","Wyoming","40","-95","RTX-3080","1.072","78","320","0.13"
"Azure","United States","West Central US","Wyoming","40","-95","MI250X-128GB","4.082","92","560","0.13"
"Azure","United States","West Central US","Wyoming","40","-95","RTX-3090","1.128","82","350","0.13"
"Azure","United States","West Central US","Wyoming","40","-95","H100-80GB","5.402","100","450","0.13"
"Azure","Europe","West Europe","Netherlands","40","-95","L40-48GB","2.098","85","300","0.26"
"Azure","Europe","West Europe","Netherlands","40","-95","H100-80GB","5.614","100","450","0.26"
"Azure","Europe","West Europe","Netherlands","40","-95","RTX-3080","1.078","78","320","0.26"
"Azure","Europe","West Europe","Netherlands","40","-95","V100-16GB","2.206","75","250","0.26"
"Azure","India","West India","Mumbai","19.076","72.8777","L40-48GB","2.738","85","300","0.08"
"Azure","India","West India","Mumbai","19.076","72.8777","MI250X-128GB","3.638","92","560","0.08"
"Azure","India","West India","Mumbai","19.076","72.8777","RTX-3090","1.239","82","350","0.08"
"Azure","India","West India","Mumbai","19.076","72.8777","P40-24GB","1.754","70","250","0.08"
"Azure","United States","West US","California","37.7749","-122.4194","P4-8GB","0.498","50","75","0.22"
"Azure","United States","West US","California","37.7749","-122.4194","L40-48GB","2.644","85","300","0.22"
"Azure","United States","West US","California","37.7749","-122.4194","MI250X-128GB","3.578","92","560","0.22"
"Azure","United States","West US","California","37.7749","-122.4194","T4-16GB","0.829","60","70","0.22"
"Azure","United States","West US 2","Washington","40","-95","P4-8GB","0.531","50","75","0.13"
"Azure","United States","West US 2","Washington","40","-95","T4-16GB","0.914","60","70","0.13"
"Azure","United States","West US 2","Washington","40","-95","L40-48GB","2.349","85","300","0.13"
"Azure","United States","West US 3","Phoenix","40","-95","MI250X-128GB","3.764","92","560","0.13"
"Azure","United States","West US 3","Phoenix","40","-95","RTX-3090","1.240","82","350","0.13"
"Azure","United States","West US 3","Phoenix","40","-95","K80-12GB","0.576","45","300","0.13"
"Google Cloud","Johannesburg, South Africa","africa-south1","Johannesburg, South Africa","-26.2041","28.0473","V100-16GB","1.993","75","250","0.15"
"Google Cloud","Johannesburg, South Africa","africa-south1","Johannesburg, South Africa","-26.2041","28.0473","H100-80GB","5.009","100","450","0.15"
"Google Cloud","Johannesburg, South Africa","africa-south1","Johannesburg, South Africa","-26.2041","28.0473","A100-80GB","3.390","95","400","0.15"
"Google Cloud","Johannesburg, South Africa","africa-south1","Johannesburg, South Africa","-26.2041","28.0473","L4-24GB","1.070","65","72","0.15"
"Google Cloud","Johannesburg, South Africa","africa-south1","Johannesburg, South Africa","-26.2041","28.0473","P4-8GB","0.539","50","75","0.15"
"Google Cloud","Johannesburg, South Africa","africa-south1","Johannesburg, South Africa","-26.2041","28.0473","T4-16GB","0.808","60","70","0.15"
"Google Cloud","Changhua County, Taiwan, APAC","asia-east1","Changhua County, Taiwan, APAC","40","-95","K80-12GB","0.601","45","300","0.15"
"Google Cloud","Changhua County, Taiwan, APAC","asia-east1","Changhua County, Taiwan, APAC","40","-95","L4-24GB","1.085","65","72","0.15"
"Google Cloud","Changhua County, Taiwan, APAC","asia-east1","Changhua County, Taiwan, APAC","40","-95","P40-24GB","1.482","70","250","0.15"
"Google Cloud","Changhua County, Taiwan, APAC","asia-east1","Changhua County, Taiwan, APAC","40","-95","V100-16GB","2.190","75","250","0.15"
"Google Cloud","Changhua County, Taiwan, APAC","asia-east1","Changhua County, Taiwan, APAC","40","-95","V100-32GB","2.269","80","300","0.15"
"Google Cloud","Changhua County, Taiwan, APAC","asia-east1","Changhua County, Taiwan, APAC","40","-95","K80-12GB","0.629","45","300","0.15"
"Google Cloud","Changhua County, Taiwan, APAC","asia-east1","Changhua County, Taiwan, APAC","40","-95","P4-8GB","0.579","50","75","0.15"
"Google Cloud","Changhua County, Taiwan, APAC","asia-east1","Changhua County, Taiwan, APAC","40","-95","L4-24GB","1.063","65","72","0.15"
"Google Cloud","Changhua County, Taiwan, APAC","asia-east1","Changhua County, Taiwan, APAC","40","-95","T4-16GB","0.953","60","70","0.15"
"Google Cloud","Changhua County, Taiwan, APAC","asia-east1","Changhua County, Taiwan, APAC","40","-95","RTX-4090","1.573","88","450","0.15"
"Google Cloud","Changhua County, Taiwan, APAC","asia-east1","Changhua County, Taiwan, APAC","40","-95","L4-24GB","0.986","65","72","0.15"
"Google Cloud","Changhua County, Taiwan, APAC","asia-east1","Changhua County, Taiwan, APAC","40","-95","K80-12GB","0.563","45","300","0.15"
"Google Cloud","Changhua County, Taiwan, APAC","asia-east1","Changhua County, Taiwan, APAC","40","-95","V100-32GB","2.438","80","300","0.15"
"Google Cloud","Changhua County, Taiwan, APAC","asia-east1","Changhua County, Taiwan, APAC","40","-95","RTX-3090","1.174","82","350","0.15"
"Google Cloud","Changhua County, Taiwan, APAC","asia-east1","Changhua County, Taiwan, APAC","40","-95","MI250X-128GB","4.175","92","560","0.15"
"Google Cloud","Hong Kong, APAC","asia-east2","Hong Kong, APAC","22.3193","114.1694","RTX-4090","1.948","88","450","0.18"
"Google Cloud","Hong Kong, APAC","asia-east2","Hong Kong, APAC","22.3193","114.1694","L4-24GB","1.043","65","72","0.18"
"Google Cloud","Hong Kong, APAC","asia-east2","Hong Kong, APAC","22.3193","114.1694","K80-12GB","0.638","45","300","0.18"
"Google Cloud","Hong Kong, APAC","asia-east2","Hong Kong, APAC","22.3193","114.1694","P4-8GB","0.572","50","75","0.18"
"Google Cloud","Hong Kong, APAC","asia-east2","Hong Kong, APAC","22.3193","114.1694","T4-16GB","0.846","60","70","0.18"
"Google Cloud","Hong Kong, APAC","asia-east2","Hong Kong, APAC","22.3193","114.1694","L4-24GB","1.221","65","72","0.18"
"Google Cloud","Hong Kong, APAC","asia-east2","Hong Kong, APAC","22.3193","114.1694","P4-8GB","0.667","50","75","0.18"
"Google Cloud","Hong Kong, APAC","asia-east2","Hong Kong, APAC","22.3193","114.1694","P40-24GB","1.846","70","250","0.18"
"Google Cloud","Hong Kong, APAC","asia-east2","Hong Kong, APAC","22.3193","114.1694","A100-40GB","3.194","90","350","0.18"
"Google Cloud","Hong Kong, APAC","asia-east2","Hong Kong, APAC","22.3193","114.1694","T4-16GB","0.941","60","70","0.18"
"Google Cloud","Hong Kong, APAC","asia-east2","Hong Kong, APAC","22.3193","114.1694","RTX-4090","2.063","88","450","0.18"
"Google Cloud","Hong Kong, APAC","asia-east2","Hong Kong, APAC","22.3193","114.1694","MI250X-128GB","4.334","92","560","0.18"
"Google Cloud","Hong Kong, APAC","asia-east2","Hong Kong, APAC","22.3193","114.1694","A100-80GB","3.675","95","400","0.18"
"Google Cloud","Hong Kong, APAC","asia-east2","Hong Kong, APAC","22.3193","114.1694","L4-24GB","0.973","65","72","0.18"
"Google Cloud","Hong Kong, APAC","asia-east2","Hong Kong, APAC","22.3193","114.1694","H100-80GB","5.847","100","450","0.18"
"Google Cloud","Tokyo, Japan, APAC","asia-northeast1","Tokyo, Japan, APAC","35.6762","139.6503","H100-80GB","5.465","100","450","0.24"
"Google Cloud","Tokyo, Japan, APAC","asia-northeast1","Tokyo, Japan, APAC","35.6762","139.6503","MI250X-128GB","4.314","92","560","0.24"
"Google Cloud","Tokyo, Japan, APAC","asia-northeast1","Tokyo, Japan, APAC","35.6762","139.6503","RTX-4090","1.750","88","450","0.24"
"Google Cloud","Tokyo, Japan, APAC","asia-northeast1","Tokyo, Japan, APAC","35.6762","139.6503","RTX-3080","1.203","78","320","0.24"
"Google Cloud","Tokyo, Japan, APAC","asia-northeast1","Tokyo, Japan, APAC","35.6762","139.6503","A100-40GB","3.190","90","350","0.24"
"Google Cloud","Tokyo, Japan, APAC","asia-northeast1","Tokyo, Japan, APAC","35.6762","139.6503","RTX-3080","1.189","78","320","0.24"
"Google Cloud","Tokyo, Japan, APAC","asia-northeast1","Tokyo, Japan, APAC","35.6762","139.6503","V100-16GB","2.330","75","250","0.24"
"Google Cloud","Tokyo, Japan, APAC","asia-northeast1","Tokyo, Japan, APAC","35.6762","139.6503","L40-48GB","2.634","85","300","0.24"
"Google Cloud","Tokyo, Japan, APAC","asia-northeast1","Tokyo, Japan, APAC","35.6762","139.6503","RTX-4090","1.967","88","450","0.24"
"Google Cloud","Tokyo, Japan, APAC","asia-northeast1","Tokyo, Japan, APAC","35.6762","139.6503","H100-80GB","4.848","100","450","0.24"
"Google Cloud","Tokyo, Japan, APAC","asia-northeast1","Tokyo, Japan, APAC","35.6762","139.6503","V100-16GB","2.641","75","250","0.24"
"Google Cloud","Tokyo, Japan, APAC","asia-northeast1","Tokyo, Japan, APAC","35.6762","139.6503","L4-24GB","1.170","65","72","0.24"
"Google Cloud","Tokyo, Japan, APAC","asia-northeast1","Tokyo, Japan, APAC","35.6762","139.6503","T4-16GB","0.864","60","70","0.24"
"Google Cloud","Tokyo, Japan, APAC","asia-northeast1","Tokyo, Japan, APAC","35.6762","139.6503","MI250X-128GB","4.493","92","560","0.24"
"Google Cloud","Tokyo, Japan, APAC","asia-northeast1","Tokyo, Japan, APAC","35.6762","139.6503","RTX-3090","1.441","82","350","0.24"
"Google Cloud","Osaka, Japan, APAC","asia-northeast2","Osaka, Japan, APAC","34.6937","135.5023","MI250X-128GB","3.687","92","560","0.24"
"Google Cloud","Osaka, Japan, APAC","asia-northeast2","Osaka, Japan, APAC","34.6937","135.5023","RTX-3090","1.199","82","350","0.24"
